locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEAHBEAM_00330	CDS	357				hypothetical protein
OEAHBEAM_00331	CDS	576	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
OEAHBEAM_00332	CDS	4254				hypothetical protein
OEAHBEAM_00333	CDS	858	rob_1		COG2207	Right origin-binding protein
OEAHBEAM_00334	CDS	870	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
OEAHBEAM_00335	CDS	594	rclC		COG3059	Inner membrane protein RclC
OEAHBEAM_00336	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
OEAHBEAM_00337	CDS	855	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
OEAHBEAM_00338	CDS	720	lutA		COG0247	Lactate utilization protein A
OEAHBEAM_00339	CDS	1428	lutB		COG1139	Lactate utilization protein B
OEAHBEAM_00340	CDS	696	lutC		COG1556	Lactate utilization protein C
OEAHBEAM_00341	CDS	669				hypothetical protein
OEAHBEAM_00342	CDS	213				hypothetical protein
OEAHBEAM_00343	CDS	1095				hypothetical protein
OEAHBEAM_00344	CDS	762				hypothetical protein
OEAHBEAM_00345	CDS	141				hypothetical protein
OEAHBEAM_00346	CDS	168				hypothetical protein
OEAHBEAM_00347	CDS	135				hypothetical protein
OEAHBEAM_00348	CDS	252				hypothetical protein
OEAHBEAM_00349	CDS	1689	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
OEAHBEAM_00350	CDS	1473	betB	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
OEAHBEAM_00351	CDS	588	betI_1		COG1309	HTH-type transcriptional regulator BetI
OEAHBEAM_00352	CDS	2034	betT		COG1292	High-affinity choline transport protein
OEAHBEAM_00353	CDS	3984				hypothetical protein
OEAHBEAM_00354	CDS	1089	pdeL	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeL
OEAHBEAM_00355	CDS	933	yahB_1			putative HTH-type transcriptional regulator YahB
OEAHBEAM_00356	CDS	498				hypothetical protein
OEAHBEAM_00357	CDS	606				hypothetical protein
OEAHBEAM_00358	CDS	864				hypothetical protein
OEAHBEAM_00359	CDS	1548	fdrA_1		COG0074	Protein FdrA
OEAHBEAM_00360	CDS	1419				hypothetical protein
OEAHBEAM_00361	CDS	321				hypothetical protein
OEAHBEAM_00362	CDS	951	arcC2_1	2.7.2.2		Carbamate kinase 2
OEAHBEAM_00363	CDS	1383				hypothetical protein
OEAHBEAM_00364	CDS	411				hypothetical protein
OEAHBEAM_00365	CDS	987	lsrB_1			Autoinducer 2-binding protein LsrB
OEAHBEAM_00366	CDS	261	araG_1	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
OEAHBEAM_00367	CDS	1179	fruK_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
OEAHBEAM_00368	CDS	972	rbsC_1		COG1172	Ribose import permease protein RbsC
OEAHBEAM_00369	CDS	957	lsrD_1			Autoinducer 2 import system permease protein LsrD
OEAHBEAM_00370	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
OEAHBEAM_00371	CDS	816				hypothetical protein
OEAHBEAM_00372	tRNA	81				tRNA-Ser(gga)
OEAHBEAM_00373	CDS	633	rhtC_1		COG1280	Threonine efflux protein
OEAHBEAM_00374	CDS	276				hypothetical protein
OEAHBEAM_00375	CDS	1587	prpR		COG1221	Propionate catabolism operon regulatory protein
OEAHBEAM_00376	CDS	891	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
OEAHBEAM_00377	CDS	1170	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
OEAHBEAM_00378	CDS	1452	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
OEAHBEAM_00379	CDS	1887	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
OEAHBEAM_00380	CDS	1260	codB		COG1457	Cytosine permease
OEAHBEAM_00381	CDS	1284	codA	3.5.4.1	COG0402	Cytosine deaminase
OEAHBEAM_00382	CDS	900	cynR_1			HTH-type transcriptional regulator CynR
OEAHBEAM_00383	CDS	660	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
OEAHBEAM_00384	CDS	471	cynS	4.2.1.104	COG1513	Cyanate hydratase
OEAHBEAM_00385	CDS	1182	yycB		COG2807	putative transporter YycB
OEAHBEAM_00386	CDS	606	lacA	2.3.1.18	COG0110	Galactoside O-acetyltransferase
OEAHBEAM_00387	CDS	1254	lacY			Lactose permease
OEAHBEAM_00388	CDS	3075	lacZ	3.2.1.23	COG3250	Beta-galactosidase
OEAHBEAM_00389	CDS	1092	lacI		COG1609	Lactose operon repressor
OEAHBEAM_00390	CDS	954	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
OEAHBEAM_00391	CDS	777				hypothetical protein
OEAHBEAM_00392	CDS	948				hypothetical protein
OEAHBEAM_00393	CDS	1665	mhpA	1.14.13.127	COG0654	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
OEAHBEAM_00394	CDS	945	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
OEAHBEAM_00395	CDS	867	mhpC	3.7.1.14	COG0596	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
OEAHBEAM_00396	CDS	810	mhpD	4.2.1.80	COG3971	2-keto-4-pentenoate hydratase
OEAHBEAM_00397	CDS	951	mhpF	1.2.1.10	COG4569	Acetaldehyde dehydrogenase
OEAHBEAM_00398	CDS	1014	mhpE	4.1.3.39	COG0119	4-hydroxy-2-oxovalerate aldolase
OEAHBEAM_00399	CDS	1212	mhpT			3-(3-hydroxy-phenyl)propionate transporter
OEAHBEAM_00400	CDS	540				hypothetical protein
OEAHBEAM_00401	CDS	834	frmB	3.1.2.12	COG0627	S-formylglutathione hydrolase FrmB
OEAHBEAM_00402	CDS	1110	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
OEAHBEAM_00403	CDS	276	frmR		COG1937	Transcriptional repressor FrmR
OEAHBEAM_00404	CDS	1047	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
OEAHBEAM_00405	CDS	2079				hypothetical protein
OEAHBEAM_00406	CDS	1032			COG1840	putative protein
OEAHBEAM_00407	CDS	1305	uhpC_1		COG2271	Membrane sensor protein UhpC
OEAHBEAM_00408	CDS	1542	uhpB_1	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
OEAHBEAM_00409	CDS	630	uhpA_1		COG2197	Transcriptional regulatory protein UhpA
OEAHBEAM_00410	CDS	963	tauA		COG4521	Taurine-binding periplasmic protein
OEAHBEAM_00411	CDS	768	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
OEAHBEAM_00412	CDS	828	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
OEAHBEAM_00413	CDS	852	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
OEAHBEAM_00414	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
OEAHBEAM_00415	CDS	2943				hypothetical protein
OEAHBEAM_00416	CDS	624	iprA			Inhibitor of hydrogen peroxide resistance
OEAHBEAM_00417	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
OEAHBEAM_00418	CDS	102				hypothetical protein
OEAHBEAM_00419	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
OEAHBEAM_00420	CDS	1095				hypothetical protein
OEAHBEAM_00421	CDS	309	yaiY			Inner membrane protein YaiY
OEAHBEAM_00422	CDS	213				hypothetical protein
OEAHBEAM_00423	CDS	1095	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
OEAHBEAM_00424	CDS	261	iraP			Anti-adapter protein IraP
OEAHBEAM_00425	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
OEAHBEAM_00426	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
OEAHBEAM_00427	CDS	1116	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
OEAHBEAM_00428	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
OEAHBEAM_00429	CDS	459				hypothetical protein
OEAHBEAM_00430	CDS	525	aroL	2.7.1.71	COG0703	Shikimate kinase 2
OEAHBEAM_00431	CDS	192	yaiA			putative protein YaiA
OEAHBEAM_00432	CDS	678				hypothetical protein
OEAHBEAM_00433	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
OEAHBEAM_00434	CDS	2280				hypothetical protein
OEAHBEAM_00435	CDS	450				hypothetical protein
OEAHBEAM_00436	CDS	978	rdgC		COG2974	Recombination-associated protein RdgC
OEAHBEAM_00437	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
OEAHBEAM_00438	CDS	1269	araJ		COG2814	Putative transporter AraJ
OEAHBEAM_00439	CDS	3147	sbcC		COG0419	Nuclease SbcCD subunit C
OEAHBEAM_00440	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
OEAHBEAM_00441	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
OEAHBEAM_00442	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
OEAHBEAM_00443	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
OEAHBEAM_00444	CDS	1374	proY		COG1113	Proline-specific permease ProY
OEAHBEAM_00445	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
OEAHBEAM_00446	CDS	1446				hypothetical protein
OEAHBEAM_00447	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
OEAHBEAM_00448	CDS	1071	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
OEAHBEAM_00449	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
OEAHBEAM_00450	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
OEAHBEAM_00451	CDS	1815	secD		COG0342	Protein translocase subunit SecD
OEAHBEAM_00452	CDS	972	secF		COG0341	Protein translocase subunit SecF
OEAHBEAM_00453	CDS	243				hypothetical protein
OEAHBEAM_00454	CDS	282	parE4		COG3668	Toxin ParE4
OEAHBEAM_00455	CDS	348				hypothetical protein
OEAHBEAM_00456	CDS	885	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
OEAHBEAM_00457	CDS	540	yajI			putative lipoprotein YajI
OEAHBEAM_00458	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
OEAHBEAM_00459	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
OEAHBEAM_00460	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
OEAHBEAM_00461	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
OEAHBEAM_00462	CDS	978	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
OEAHBEAM_00463	CDS	516	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
OEAHBEAM_00464	CDS	1572				hypothetical protein
OEAHBEAM_00465	CDS	975	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
OEAHBEAM_00466	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
OEAHBEAM_00467	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
OEAHBEAM_00468	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
OEAHBEAM_00469	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
OEAHBEAM_00470	CDS	591	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
OEAHBEAM_00471	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
OEAHBEAM_00472	CDS	492				hypothetical protein
OEAHBEAM_00473	CDS	1365	yajR		COG0477	Inner membrane transport protein YajR
OEAHBEAM_00474	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
OEAHBEAM_00475	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
OEAHBEAM_00476	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
OEAHBEAM_00477	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
OEAHBEAM_00478	CDS	948	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
OEAHBEAM_00479	CDS	1476	ampG		COG0477	Anhydromuropeptide permease
OEAHBEAM_00480	CDS	579				hypothetical protein
OEAHBEAM_00481	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
OEAHBEAM_00482	CDS	1299	tig	5.2.1.8	COG0544	Trigger factor
OEAHBEAM_00483	CDS	624	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
OEAHBEAM_00484	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
OEAHBEAM_00485	CDS	2355	lon_1	3.4.21.53	COG0466	Lon protease
OEAHBEAM_00486	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
OEAHBEAM_00487	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
OEAHBEAM_00488	CDS	372			COG1555	putative protein
OEAHBEAM_00489	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
OEAHBEAM_00490	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
OEAHBEAM_00491	CDS	1701	sgrR_2		COG4533	HTH-type transcriptional regulator SgrR
OEAHBEAM_00492	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
OEAHBEAM_00493	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
OEAHBEAM_00494	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
OEAHBEAM_00495	CDS	1782	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
OEAHBEAM_00496	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
OEAHBEAM_00497	CDS	1287	amtB			Ammonia channel
OEAHBEAM_00498	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
OEAHBEAM_00499	CDS	573	ybaY		COG3126	putative lipoprotein YbaY
OEAHBEAM_00500	CDS	312	atl		COG3695	DNA base-flipping protein
OEAHBEAM_00501	CDS	354	ybaA		COG5507	putative protein YbaA
OEAHBEAM_00502	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
OEAHBEAM_00503	CDS	471	ylaC			Inner membrane protein YlaC
OEAHBEAM_00504	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
OEAHBEAM_00505	CDS	219	hha_1			Hemolysin expression-modulating protein Hha
OEAHBEAM_00506	CDS	375	tomB			Hha toxicity modulator TomB
OEAHBEAM_00507	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
OEAHBEAM_00508	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
OEAHBEAM_00509	CDS	648	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
OEAHBEAM_00510	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
OEAHBEAM_00511	CDS	165				hypothetical protein
OEAHBEAM_00512	CDS	528	priC		COG3923	Primosomal replication protein N''
OEAHBEAM_00513	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
OEAHBEAM_00514	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
OEAHBEAM_00515	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
OEAHBEAM_00516	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
OEAHBEAM_00517	CDS	606	recR		COG0353	Recombination protein RecR
OEAHBEAM_00518	CDS	1875	htpG		COG0326	Chaperone protein HtpG
OEAHBEAM_00519	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
OEAHBEAM_00520	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
OEAHBEAM_00521	CDS	960	aes	3.1.1.-	COG0657	Acetyl esterase
OEAHBEAM_00522	CDS	1305	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
OEAHBEAM_00523	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
OEAHBEAM_00524	CDS	1221	fsr			Fosmidomycin resistance protein
OEAHBEAM_00525	CDS	1653	ushA		COG0737	Protein UshA
OEAHBEAM_00526	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
OEAHBEAM_00527	CDS	795				hypothetical protein
OEAHBEAM_00528	CDS	396	ybaQ		COG3093	putative HTH-type transcriptional regulator YbaQ
OEAHBEAM_00529	CDS	2505	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
OEAHBEAM_00530	CDS	933	glsA1	3.5.1.2	COG2066	Glutaminase 1
OEAHBEAM_00531	CDS	1293	ybaT		COG0531	Inner membrane transport protein YbaT
OEAHBEAM_00532	CDS	1356	bepC			Outer membrane efflux protein BepC
OEAHBEAM_00533	CDS	4386				hypothetical protein
OEAHBEAM_00534	CDS	15876				hypothetical protein
OEAHBEAM_00535	CDS	2163	ltxB	7.4.2.5	COG2274	Leukotoxin export ATP-binding protein LtxB
OEAHBEAM_00536	CDS	1176	prsE			Type I secretion system membrane fusion protein PrsE
OEAHBEAM_00537	CDS	408	cueR		COG0789	HTH-type transcriptional regulator CueR
OEAHBEAM_00538	CDS	204				hypothetical protein
OEAHBEAM_00539	CDS	423				hypothetical protein
OEAHBEAM_00540	CDS	1017				hypothetical protein
OEAHBEAM_00541	CDS	363				hypothetical protein
OEAHBEAM_00542	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
OEAHBEAM_00543	CDS	918	qmcA		COG0330	Protein QmcA
OEAHBEAM_00544	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
OEAHBEAM_00545	CDS	780	fetB		COG0390	putative iron export permease protein FetB
OEAHBEAM_00546	CDS	855	cnoX		COG3118	Chaperedoxin
OEAHBEAM_00547	CDS	771				hypothetical protein
OEAHBEAM_00548	CDS	594	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
OEAHBEAM_00549	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
OEAHBEAM_00550	CDS	2415				hypothetical protein
OEAHBEAM_00551	CDS	4197	rhsD_3		COG3209	Protein RhsD
OEAHBEAM_00552	CDS	261				hypothetical protein
OEAHBEAM_00553	CDS	372				IS481 family transposase ISErsp1
OEAHBEAM_00554	CDS	1095	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
OEAHBEAM_00555	CDS	927	allS			HTH-type transcriptional activator AllS
OEAHBEAM_00556	CDS	483	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
OEAHBEAM_00557	CDS	816	allR		COG1414	HTH-type transcriptional repressor AllR
OEAHBEAM_00558	CDS	1782	gcl	4.1.1.47	COG3960	Glyoxylate carboligase
OEAHBEAM_00559	CDS	777	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
OEAHBEAM_00560	CDS	879	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
OEAHBEAM_00561	CDS	1392	ybbW		COG1953	Putative allantoin permease
OEAHBEAM_00562	CDS	1362	allB	3.5.2.5	COG0044	Allantoinase
OEAHBEAM_00563	CDS	1302	ybbY		COG2233	Putative purine permease YbbY
OEAHBEAM_00564	CDS	1146	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
OEAHBEAM_00565	CDS	786	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
OEAHBEAM_00566	CDS	1236	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
OEAHBEAM_00567	CDS	1050	allD	1.1.1.350	COG2055	Ureidoglycolate dehydrogenase (NAD(+))
OEAHBEAM_00568	CDS	1668	fdrA_2		COG0074	Protein FdrA
OEAHBEAM_00569	CDS	1260				hypothetical protein
OEAHBEAM_00570	CDS	816				hypothetical protein
OEAHBEAM_00571	CDS	894	arcC2_2	2.7.2.2		Carbamate kinase 2
OEAHBEAM_00572	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
OEAHBEAM_00573	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
OEAHBEAM_00574	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
OEAHBEAM_00575	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
OEAHBEAM_00576	CDS	1386	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
OEAHBEAM_00577	CDS	522	ybcI		COG1988	Inner membrane protein YbcI
OEAHBEAM_00578	CDS	213	ybcJ		COG2501	putative protein YbcJ
OEAHBEAM_00579	CDS	867	folD		COG0190	Bifunctional protein FolD protein
OEAHBEAM_00580	CDS	543	sfmA			putative fimbrial-like protein SfmA
OEAHBEAM_00581	CDS	693	sfmC			putative fimbrial chaperone SfmC
OEAHBEAM_00582	CDS	2604	sfmD		COG3188	Outer membrane usher protein SfmD
OEAHBEAM_00583	CDS	978	sfmH			putative fimbrial-like protein SfmH
OEAHBEAM_00584	CDS	516	sfmF			putative fimbrial-like protein SfmF
OEAHBEAM_00585	CDS	633	bvgA			Virulence factors putative positive transcription regulator BvgA
OEAHBEAM_00586	tRNA	77				tRNA-Arg(tct)
OEAHBEAM_00587	CDS	762	rhaR_1			HTH-type transcriptional activator RhaR
OEAHBEAM_00588	CDS	891				hypothetical protein
OEAHBEAM_00589	CDS	2973	nfrA		COG0457	Bacteriophage adsorption protein A
OEAHBEAM_00590	CDS	2238				hypothetical protein
OEAHBEAM_00591	CDS	1137				ISAs1 family transposase ISEc1
OEAHBEAM_00592	CDS	222				hypothetical protein
OEAHBEAM_00593	CDS	1335				hypothetical protein
OEAHBEAM_00594	CDS	408				hypothetical protein
OEAHBEAM_00595	CDS	4851				hypothetical protein
OEAHBEAM_00596	CDS	462				hypothetical protein
OEAHBEAM_00597	CDS	1902	vgrG1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
OEAHBEAM_00598	CDS	1449	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
OEAHBEAM_00599	CDS	684	cusR		COG0745	Transcriptional regulatory protein CusR
OEAHBEAM_00600	CDS	1383	cusC_1		COG1538	Cation efflux system protein CusC
OEAHBEAM_00601	CDS	333	cusF		COG5569	Cation efflux system protein CusF
OEAHBEAM_00602	CDS	1224	cusB			Cation efflux system protein CusB
OEAHBEAM_00603	CDS	3138	cusA		COG3696	Cation efflux system protein CusA
OEAHBEAM_00604	CDS	1377	pheP		COG1113	Phenylalanine-specific permease
OEAHBEAM_00605	CDS	1248	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
OEAHBEAM_00606	CDS	654	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
OEAHBEAM_00607	CDS	369				hypothetical protein
OEAHBEAM_00608	CDS	249				hypothetical protein
OEAHBEAM_00609	CDS	1119	ybdK	6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
OEAHBEAM_00610	CDS	153	hokE_1			Toxic protein HokE
OEAHBEAM_00611	CDS	153	hokE_2			Toxic protein HokE
OEAHBEAM_00612	CDS	744	entD	2.7.8.-	COG2977	Enterobactin synthase component D
OEAHBEAM_00613	CDS	2241	fepA		COG4771	Ferrienterobactin receptor
OEAHBEAM_00614	CDS	1203	fes		COG2382	Enterochelin esterase
OEAHBEAM_00615	CDS	219	ybdZ		COG3251	Enterobactin biosynthesis protein YbdZ
OEAHBEAM_00616	CDS	3882	entF	2.7.7.-	COG1020	Enterobactin synthase component F
OEAHBEAM_00617	CDS	1134	fepE		COG3765	Ferric enterobactin transport protein FepE
OEAHBEAM_00618	CDS	816	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
OEAHBEAM_00619	CDS	993	fepG		COG4779	Ferric enterobactin transport system permease protein FepG
OEAHBEAM_00620	CDS	1005	fepD		COG0609	Ferric enterobactin transport system permease protein FepD
OEAHBEAM_00621	CDS	1251	entS		COG0477	Enterobactin exporter EntS
OEAHBEAM_00622	CDS	957	fepB		COG4592	Ferrienterobactin-binding periplasmic protein
OEAHBEAM_00623	CDS	1176	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
OEAHBEAM_00624	CDS	1611	entE	6.3.2.14	COG1021	Enterobactin synthase component E
OEAHBEAM_00625	CDS	858	entB	6.3.2.14	COG1535	Enterobactin synthase component B
OEAHBEAM_00626	CDS	747	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
OEAHBEAM_00627	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
OEAHBEAM_00628	CDS	2106	cstA		COG1966	Peptide transporter CstA
OEAHBEAM_00629	CDS	198				hypothetical protein
OEAHBEAM_00630	CDS	1089	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
OEAHBEAM_00631	CDS	1161	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
OEAHBEAM_00632	CDS	630	ybdM_1		COG1475	putative protein YbdM
OEAHBEAM_00633	CDS	1221				hypothetical protein
OEAHBEAM_00634	CDS	903	ybdO_1			putative HTH-type transcriptional regulator YbdO
OEAHBEAM_00635	CDS	747	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
OEAHBEAM_00636	CDS	564	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
OEAHBEAM_00637	CDS	1596	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
OEAHBEAM_00638	CDS	429	uspG		COG0589	Universal stress protein UP12
OEAHBEAM_00639	CDS	1239		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
OEAHBEAM_00640	CDS	90	yldA			Protein YldA
OEAHBEAM_00641	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
OEAHBEAM_00642	CDS	807	rna	4.6.1.21	COG3719	Ribonuclease I
OEAHBEAM_00643	CDS	1464	ttdT_1		COG0471	L-tartrate/succinate antiporter
OEAHBEAM_00644	CDS	879	citG	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
OEAHBEAM_00645	CDS	552	citX	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
OEAHBEAM_00646	CDS	1533	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
OEAHBEAM_00647	CDS	909	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
OEAHBEAM_00648	CDS	297	citD		COG3052	Citrate lyase acyl carrier protein
OEAHBEAM_00649	CDS	1059	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
OEAHBEAM_00650	CDS	1659	dpiB	2.7.13.3	COG3290	Sensor histidine kinase DpiB
OEAHBEAM_00651	CDS	681	dpiA		COG4565	Transcriptional regulatory protein DpiA
OEAHBEAM_00652	CDS	1386	dcuD_1		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
OEAHBEAM_00653	CDS	561	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
